Name,날짜,상태,속성,작성일시
,,,,2022년 1월 10일 오전 10:04
FB 요구사항 분석,2022년 1월 11일 → 2022년 1월 11일,완료 🙌,,2022년 1월 10일 오전 10:02
FB 서비스 도출,2022년 1월 10일,완료 🙌,,2022년 1월 10일 오전 10:05
FB 데이터 플로우,2022년 1월 14일,할 일,,2022년 1월 10일 오전 10:05
%E1%84%8C%E1%85%A1%E1%86%A8%E1%84%8B%E1%85%A5%E1%86%B8%20%E1%84%86%E1%85%A9%E1%86%A8%E1%84%85%E1%85%A9%E1%86%A8%20e08b8b8a1b8841fc9405093252d66fad.csv,2022년 1월 11일 → 2022년 1월 13일,진행 중,,2022년 1월 10일 오전 10:03
FE 컴포넌트 설계,2022년 1월 12일 → 2022년 1월 13일,완료 🙌,,2022년 1월 10일 오전 10:04
BE DB ERM,2022년 1월 13일,할 일,,2022년 1월 10일 오전 10:05
"BE 시스템 설계 ",2022년 1월 13일,할 일,,2022년 1월 10일 오전 10:05
FB 깃 컨벤션,2022년 1월 10일,완료 🙌,,2022년 1월 10일 오전 10:31
New Task,,,,2022년 1월 5일 오후 2:42
,,,,2022년 1월 5일 오후 2:42
API 설계,2022년 1월 14일,,,2022년 1월 10일 오후 3:02
"%E1%84%8C%E1%85%A1%E1%86%A8%E1%84%8B%E1%85%A5%E1%86%B8%20%E1%84%86%E1%85%A9%E1%86%A8%E1%84%85%E1%85%A9%E1%86%A8%20e08b8b8a1b8841fc9405093252d66fad.csv ",,,,2022년 1월 13일 오후 5:13
"FE 프로젝트 폴더 구조 ",2022년 1월 13일,,,2022년 1월 13일 오후 5:28
sequence diagram,2022년 1월 14일,,"jinsu sang, 장정훈, 김소희, 최수한",2022년 1월 14일 오전 10:18
